studid,classid,schoolid,date,academic,FinalProfitRounded,delta,beta,delta_now,pb,beta_0,dictator,dictator_schoolmate,dictator_difference,risk,publicgood,trust,trust_return,comp,SPiecerate,STournament,ST_SP,STournamentChoosed,SPiecerateChoosed,RankP,RankT,froze,time_delta_now,time_delta,time_beta,time_risk,time_dictator,time_dictator_schoolmate,time_trust,time_trust_return,time_publicgood,time_comp,time_beta_0,time_pb,time_dictator_difference,time_total,math,read,female,male,age,gpa_m,gpa_i,chsup_d1,chsup_d2,chsup_d0,pared_d1,pared_d2,pared_d3,pared_d0,fjob1,fjob2,fjob3,fjob4,fjob5,fjob6,fjob7,fjob8,fjob9,books1,books2,books3,books4,books5,books6,books7,books8,grade_math,grade_hun,grade_lit,grade_math_m,grade_hun_m,grade_lit_m
642,46,8,191205_1150,academic track,800,.5780347,1.6796116,.97087377,0,.67961156,25,45,-20,50,50,50,50,1,4,5,1,9,,4,3,0,39,33,72,71,41,29,49,124,66,69,72,72,70,775,.64942968,-.53716248,male,male,224,0,3.5999999,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,0,0,0
643,36,6,190411_1226,academic track,300,.81967211,.97600001,.80000001,1,.023999989,50,50,0,15,100,100,50,1,12,10,-2,15,,2,3,0,21,31,52,69,29,29,80,119,45,112,52,52,58,780,.23655584,-.79495162,male,male,225,1,4.5255127,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,5,5,0,0,0
644,15,3,200224_0844,academic track,1000,,,,,,.25,.25,0,50,50,20,16.896826,1,1,6,5,7,,2,2,0,31,30,61,91,59,36,78,190,68,106,61,61,95,928,-.25678125,.86954606,male,male,192,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
645,38,6,190411_1405,academic track,1000,.33333334,1.4285713,.47619048,0,.42857134,50,25,25,15,50,60,83.764557,0,8,6,-2,,5,3,4,0,25,22,47,51,29,20,38,81,47,47,47,47,49,596,-1.2057796,-.22816716,female,female,208,0,4.9000001,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,5,0,0,0
646,6,2,190318_1014,academic track,1500,.62111801,.93063587,.5780347,1,.06936413,50,50,0,23,50,60,39.239418,0,12,13,1,,15,2,2,0,39,22,61,41,29,14,49,258,69,111,61,61,43,870,2.1830089,1.3993025,female,female,192,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
647,28,5,200306_1306,vocational track,1100,.48543689,1.019802,.49504951,0,.019801974,45,25,20,50,60,40,40.763229,0,6,6,0,,5,2,2,0,30,43,73,61,28,19,98,195,71,114,73,73,47,853,-.67187756,.43704635,female,female,226,0,4.1999998,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,0,0,0
648,10,2,200303_1103,academic track,5200,.62111801,1.1582733,.71942449,0,.15827334,50,50,0,50,60,50,48.224865,1,14,13,-1,13,,3,2,0,17,16,33,40,21,12,24,84,32,40,33,33,33,533,.20632651,.67116559,female,female,204,0,4.9000001,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
649,28,5,200306_1306,vocational track,1000,.89285713,.58031088,.51813471,1,.41968912,10,10,0,50,70,20,15.724868,1,6,9,3,8,,2,1,0,33,62,95,78,49,26,78,220,73,116,95,95,75,964,-.12964031,-1.0575447,female,female,224,0,4.9000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
650,19,3,200224_0949,academic track,1000,.52910054,1.7830188,.94339621,0,.78301883,50,25,25,2,20,20,25.32143,1,6,8,2,7,,3,2,0,28,30,58,88,10,11,43,231,77,63,58,58,21,818,-.61708677,-.59832847,female,female,182,0,4.9000001,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,0,0,0
651,45,7,190429_1037,academic track,300,.69930071,1.0833334,.75757575,0,.083333373,0,10,-10,23,100,90,38.214947,0,6,5,-1,,4,3,2,0,36,49,85,62,13,15,15,88,38,31,85,85,28,621,-1.8055859,-1.22874,male,male,192,0,4.3000002,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,4,0,0,0
652,39,6,190411_1016,academic track,1500,.97087377,1,.97087377,0,0,50,50,0,50,100,30,50,1,6,10,4,9,,4,1,0,51,33,84,159,40,46,110,209,63,119,84,84,86,1086,-.073738568,-.21738684,male,male,193,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
653,12,2,190318_1206,academic track,1500,.97087377,1,.97087377,0,0,50,50,0,50,100,100,50,1,10,12,2,14,,2,2,0,22,25,47,159,39,84,79,143,58,82,47,47,123,912,1.4445038,1.3614545,male,male,185,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
654,8,2,200302_1001,academic track,1000,.46511629,2.0873785,.97087377,0,1.0873785,50,50,0,50,100,0,36.666668,1,19,16,-3,20,,2,1,0,1,4,5,98,8,12,11,126,33,34,5,5,20,583,1.4445038,1.3614545,male,male,197,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
655,5,2,200303_0850,academic track,1500,.81967211,1.0892857,.89285713,0,.089285731,50,25,25,10,100,50,23.701057,1,14,14,0,12,,1,1,0,10,19,29,51,31,13,36,160,76,58,29,29,44,694,1.1374326,2.0836155,male,male,200,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
656,33,6,190411_1102,academic track,0,.89285713,.94117647,.84033614,1,.058823526,100,100,0,1,100,100,83.94577,1,9,6,-3,5,,3,4,0,39,20,59,55,40,26,24,101,59,58,59,59,66,667,.57619083,1.3538382,male,male,215,0,4.4000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,5,0,0,0
657,49,8,191205_1246,academic track,2000,.89285713,.84848487,.75757575,1,.15151513,0,50,-50,49,0,0,25.833332,0,7,5,-2,,6,3,3,0,39,46,85,76,32,33,61,146,169,100,85,85,65,962,.66187692,-.63711452,male,male,210,0,4.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,5,0,0,0
658,49,8,191205_1246,academic track,0,.62111801,1.219697,.75757575,0,.219697,25,0,25,10,30,30,29.671959,1,6,7,1,7,,2,1,0,47,51,98,78,27,24,49,177,96,77,98,98,51,866,-.47772139,-1.0926979,female,female,209,0,4.3000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,1,1,1
659,1,1,191011_0834,academic track,1300,.66666669,.71428567,.47619048,1,.28571433,20,15,5,37,45,20,29.18955,1,6,10,4,7,,2,1,0,54,52,106,57,32,17,43,135,91,51,106,106,49,796,-.59152573,-.0069367792,male,male,204,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0
660,14,2,200302_1048,academic track,1600,.97087377,,,,,50,25,25,50,50,40,30.000002,0,15,8,-7,,9,3,3,0,30,14,44,49,39,22,60,104,76,37,44,44,61,689,1.1546582,1.0346482,female,female,181,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,5,0,0,0
661,2,1,191011_0958,academic track,300,.56497175,1.4508197,.81967211,0,.45081973,35,30,5,10,44,40,39.799999,1,2,4,2,4,,3,3,0,52,76,128,94,32,36,69,163,94,133,128,128,68,1001,-1.572087,-1.9469171,female,female,206,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,4,0,0,0
662,45,7,190429_1037,academic track,3600,.69930071,.74093264,.51813471,1,.25906736,45,40,5,38,100,50,33.333336,1,8,9,1,9,,2,1,0,139,46,185,85,95,40,76,143,149,99,185,185,135,1141,.35313842,.88407606,female,female,200,0,4.5999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0
