studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
152;32;6;0,91743118;0,86206895;0,93965518;50;37,5;15;36,799999;50;29,517197;0;-1,124988723;1,433306757;0,786240775;-0,564413077;0,75923294;1,1226481;205;1;3;5;female;1
154;20;3;0,60606062;0,69930071;1,1538461;50;25;3;10;30;31,429893;0;-1,653934736;-0,26168324;0,140659594;-1,362726145;-0,12719505;-0,2444545;188;4;5;4,9000001;female;1
155;43;7;0,48543689;0,51813471;1,0673575;25;30;40;50;30;42,541008;1;-0,170377021;-1,098496783;-0,377284108;1,223502946;-1,6871138;-1,3461517;205;3;1;4,3000002;male;0
156;46;8;0,60606062;0,68493152;1,130137;50;75;15;50;70;49,722221;0;0,351050798;-0,514288183;2,238878436;-1,062062273;0,62553537;0,41864917;208;2;2;5;female;1
157;40;6;0,68493152;0,62111801;0,90683228;20;0,5;69;49,900002;30;36,985451;1;-0,595482477;-0,147378341;-1,838250019;1,683700392;0,38436788;0,69870198;195;4;1;4,5255127;male;1
158;42;7;0,89285713;0,89285713;1;50;0;5;50;50;33,902119;1;-0,559465017;1,211128027;-0,744598898;-1,261621396;0,041177332;0,76877409;201;1;1;4,3000002;female;0
159;50;9;0,97087377;0,97087377;1;50;0;50;100;100;50;1;1,493550372;1,675255213;-0,195169986;1,077260973;0,41815403;1,6696298;202;5;3;4,5255127;male;1
160;30;5;0,97087377;0,97087377;1;50;40;33;40;30;50;0;-0,83356032;1,520954135;0,387289393;-0,41386104;-0,33768883;-1,4775068;206;1;3;4,5255127;male;0
161;44;7;0,69930071;0,60606062;0,86666667;50;25;50;100;50;50;1;1,14611941;-0,394286674;-0,314027706;0,842920312;-0,68188018;-0,82131624;203;5;3;3,8;male;0
162;28;5;0,51813471;0,5780347;1,1156069;40;25;45;35,5;70;46,096561;0;0,257004663;-1,026425707;0,177070367;0,386675415;-1,155212;-1,5043401;223;3;3;3,9000001;female;0
163;40;6;0,62111801;0,49504951;0,79702973;50;25;60;50;30;25,769842;1;-1,410788654;-0,984950671;0,301312943;1,619301263;-0,11041369;0,13847947;205;3;5;4,5999999;female;0
164;14;2;0,75757575;0,7352941;0,97058827;50;50;75;75;80;43,333332;1;0,180990312;-0,426935024;0,49125137;1,327128443;1,7300144;1,5421414;189;5;4;4,5255127;female;0
165;30;5;0,91743118;0,97087377;1,0582525;50;25;43;65;40;24,396164;0;-0,633714306;1,302203297;-0,177812451;0,717818431;-2,2908099;-1,645421;196;1;2;4,6999998;female;0
166;1;1;0,55248618;0,5076142;0,91878176;5;50;20;50;60;41,84127;1;0,360772842;-1,259401387;-0,891918797;-0,315475419;-1,508961;-2,1956837;206;3;5;4,1999998;male;0
167;39;6;0,77519381;0,77519381;1;50;50;17;100;90;51,150791;1;1,302850637;0,46386035;0,481509937;-0,524040837;-0,5934146;-0,27386573;198;2;2;4,5999999;female;1
168;7;2;0,48543689;0,46511629;0,95813954;0;0;51;100;50;10,833333;1;0,043455659;-1,425429699;-1,213502066;0,416029574;1,0374091;0,98742592;202;3;1;4,1999998;male;1
169;8;2;0,80000001;0,69930071;0,87412584;50;50;69;100;100;27,57275;0;0,159930892;-1,248495065;1,742584893;1,875547294;1,5514174;0,66870457;194;3;4;4,8000002;male;1
170;12;2;0,97087377;0,81967211;0,8442623;50;50;30;100;100;35;1;0,589652897;0,278064681;0,815842507;-0,342884071;1,5514174;0,66870457;182;2;2;4,8000002;male;1
171;17;3;0,68493152;0,56497175;0,82485873;50;50;25;50;50;50;1;-0,331954327;-1,245268684;1,794363482;-0,280776052;-0,70988643;-0,93778998;199;3;2;4,3000002;female;1
172;16;3;0,81967211;0,63291138;0,77215195;50;25;50;50;30;33,333336;1;-0,583309343;-0,468082068;0,089507668;1,269945586;-0,87214661;0,65581566;196;3;3;4,3000002;female;0
173;45;7;0,71942449;0,69930071;0,97202796;50;25;15;50;50;34,560848;1;-0,696431968;-0,017304424;0,026023553;-0,72094196;-0,92627025;-0,77690625;197;1;1;4;female;1
174;9;2;0,77519381;0,81967211;1,057377;25;25;50;40;50;46,493385;1;-0,117147809;-0,092893523;-0,443072417;0,526271222;0,62520182;0,56734705;193;5;3;4,5255127;female;1
175;9;2;0,94339621;0,33333334;0,35333335;50;25;55;0;50;50;1;-0,917427007;-0,842969887;0,74369967;1,141064664;1,8518206;1,1356544;205;3;3;4,9000001;male;1
