;studid;classid;delta;beta;beta_0;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;mean_delta;mean_beta;mean_beta_0;mean_dictator;mean_dictator_schoolmate;mean_risk;mean_publicgood;mean_trust;mean_trust_return;sd_delta;sd_beta;sd_beta_0;sd_dictator;sd_dictator_schoolmate;sd_risk;sd_publicgood;sd_trust;sd_trust_return;delta_diff;beta_diff;beta_0_diff;dictator_diff;dictator_schoolmate_diff;risk_diff;publicgood_diff;trust_diff;trust_return_diff
25;25;21;0,60606062;1,6019417;0,6019417;25;25;22;30;50;17,608467;0,702187606;1,079747691;0,109235355;43,681579;27,76052637;28,94736842;58,86842105;47,36842105;35,23713537;0,15620482;0,168528073;0,150064825;9,216458904;15,91463851;16,30430647;25,47648268;11,47078669;14,22066757;3,177722257;8,42574103;3,901975807;-40,96904046;-26,18964557;-27,59803166;-57,69086447;-43,00952211;-33,99890468
26;26;1;0,49504951;1;0;50;25;21;75;60;50;0,745461452;0,966396618;0,093583437;40;33,0952381;28,47619048;53,0952381;51,42857143;41,6582526;0,167640515;0,135086686;0,101184519;14,23024947;21,12322126;17,55169236;19,45997113;16,21286967;14,59391075;2,207580717;6,436257411;-0,093583437;-36,48635816;-31,91170649;-27,27972466;-49,24117277;-47,7278077;-38,23216614
27;27;48;0,89285713;1;0;0;0;32;100;100;36,666668;0,741336557;1,04582137;0,179777305;39,44;25,5;37,84;71,68799992;68;43,57871556;0,146295772;0,309490296;0,253583872;16,6966314;19,33800231;16,10558909;30,41722818;26,45751311;10,88081796;5,361759363;2,185297712;-0,179777305;-39,44;-25,5;-35,85311211;-68,40038938;-64,22035527;-40,20887074
28;28;34;0,64935064;1,0769231;0,076923132;50;5;50;40;30;40,332012;0,778897596;0,942151028;0,161236964;40,89473684;34,31578947;36,52631579;63,94736842;56,31578947;39,12197261;0,123246916;0,239262121;0,182584575;20,08840112;23,26192079;19,59696241;23,3082572;26,71049031;25,03778546;4,489799268;3,558866911;0,260064408;-38,40573836;-34,10084592;-33,97489997;-62,2312384;-55,19263525;-37,51112679
29;29;36;0,5780347;0,95580107;0,04419893;25;15;24;46;40;28,783068;0,713287279;1,059407385;0,105701709;44,00333333;30,66666667;34,93333333;61,83999987;71,33333333;46,44276973;0,153756512;0,185151093;0,16152815;21,6392539;20,16597795;14,82982837;26,06828393;25,31703737;9,396605655;3,046128775;4,102868755;0,167928182;-42,84802548;-29,92283961;-33,3149734;-60,07540347;-69,75336963;-43,37963512
30;30;39;0,89285713;0,94117647;0,058823526;50;50;20;100;100;45,400791;0,687073776;1,050845807;0,137126504;42,85714286;36,07142857;27,85714286;68,92857143;65;45,05144529;0,145465336;0,180159866;0,122440322;15,15487808;18,41598088;17,96516776;26,3247888;25,94372608;8,989610018;5,450863634;4,173272588;0,343299591;-39,55787514;-33,35639534;-26,74387744;-65,12987049;-61,14550355;-40,0010826
31;31;11;0,62111801;1,288;0,28799999;75;75;14;80;60;60,416668;0,732471031;1,04069003;0,154807852;45,90909091;37,18181818;34,45454545;64,31818182;49,09090909;41,75702068;0,140514985;0,21262543;0,147774867;18,49300792;20,43196926;17,4812206;24,11754225;18,23369223;9,6647384;3,687826281;5,016910901;1,794102643;-41,85350405;-33,51110005;-33,65368605;-61,00109423;-45,80029745;-35,50577357
32;32;4;0,5780347;1,310606;0,310606;50;100;1;52;60;39,259262;0,726061549;1,019411774;0,122299168;40,55357143;22,14285714;29,78571429;49,07142857;58,57142857;41,28609307;0,162818654;0,194176966;0,148333623;20,48831247;32,26776706;17,83332477;22,81519158;26,56114654;9,640621122;2,824113367;5,730132339;1,97166978;-38,1131557;-19,04378928;-29,72963949;-46,79224543;-56,31248994;-37,2138179
33;33;39;0,52910054;1,0216216;0,021621585;50;50;15;80;60;45,669312;0,687073776;1,050845807;0,137126504;42,85714286;36,07142857;27,85714286;68,92857143;65;45,05144529;0,145465336;0,180159866;0,122440322;15,15487808;18,41598088;17,96516776;26,3247888;25,94372608;8,989610018;2,950222594;4,619793402;0,039462258;-39,55787514;-33,35639534;-27,02219379;-65,88961068;-62,68730213;-39,97121245
34;34;4;0,94339621;1;0;50;50;14;0;100;49,444443;0,726061549;1,019411774;0,122299168;40,55357143;22,14285714;29,78571429;49,07142857;58,57142857;41,28609307;0,162818654;0,194176966;0,148333623;20,48831247;32,26776706;17,83332477;22,81519158;26,56114654;9,640621122;5,068091571;4,130529637;-0,122299168;-38,1131557;-20,59332321;-29,00066718;-49,07142857;-54,80653085;-36,15733193
